id	ID
standardisierungen	Standardisierungen
beeinflusstVon	Beeinflusst von
beeinflusste	Beeinflusste
format	Format
zitat	Zitat
bildFlagge2rahmen	Bild-Flagge2rahmen
landeshymne	Landeshymne
landeshauptstadt	Landeshauptstadt
bip%3Csmall%3E(nominal)%3C/small%3E	BIP <small>(nominal)</small>
schulden	Schulden
minister	Minister
regpartei	Regpartei
sitzlandtag	Sitzlandtag
lwahl	Lwahl
nwahl	Nwahl
sbundesrat	Sbundesrat
behördenBezeichnung	Behörden bezeichnung
behördenLogo	Behörden logo
staatlicheEbene	Staatliche ebene
stellung	Stellung
aufsicht	Aufsicht
hauptsitz	Hauptsitz
behördenleiter	Behördenleiter
anzMitarbeiter	Anz mitarbeiter
maße	Maße
alt	Alt
reftempdampfdruckK	Dampfdruck K
spez.Widerstand	Spez. Widerstand
vorsitz	Vorsitz
straße	Straße
plzOrt	PLZ Ort
kurztitel	Kurztitel
frühererTitel	Früherer Titel
geltungsbereich	Geltungsbereich
rechtsmaterie	Rechtsmaterie
fna	FNA
datumgesetz	Datum Gesetz
inkrafttreten	Inkrafttreten
neubekanntmachung	Neubekanntmachung
neufassung	Neufassung
inkrafttretenneufassung	Inkrafttreten Neufassung
letzteänderung	LetzteÄnderung
inkrafttretenletzteänderung	Inkrafttreten LetzteÄnderung
gesta	Gesta
bezirk	Bezirk
ortsteilnummer	Ortsteilnummer
bildKarteBreite	Bild-Karte-Breite
eingemeindung	Eingemeindung
höhePräfix	HÖHE-PRÄFIX
plz	PLZ
rubrik	Rubrik
gliederungListe	Gliederung-Liste
b	B
erdzeitalterbis	Erdzeitalter Bis
lageplan	Lageplan
lageplanbeschreibung	Lageplanbeschreibung
bundesland	Bundesland
regierungsbezirk	Regierungsbezirk
landschaftsverband	Landschaftsverband
kfz	Kfz
gemeindeschlüssel	Gemeindeschlüssel
nuts	Nuts
locode	Locode
adresse	Adresse
bürgermeistertitel	Bürgermeistertitel
bildBreite	Bild-Breite
lage	Lage
poskarte	Poskarte
regionIso	Region-Iso
maxTiefe	Max-Tiefe
medTiefe	Med-Tiefe
volumen	Volumen
zufluss	Zufluss
abfluss	Abfluss
inseln	Inseln
uferstadt	Uferstadt
nahestadt	Nahestadt
besonderheiten	Besonderheiten
bild1Beschreibung	Bild1-Beschreibung
v	V
t	T
sortkey	Sortkey
bild1Text	Bild1-Text
gewaesser	Gewaesser
landmasse	Landmasse
laengengrad	Laengengrad
laenge	Laenge
staedte	Staedte
bruecken	Bruecken
tunnel	Tunnel
pop	Pop
nordost	Nordost
nordwest	Nordwest
nord	Nord
west	West
ost	OST
sued	Sued
suedwest	Suedwest
suedost	Suedost
freigabedatum	Freigabedatum
stammbaum	Stammbaum
kernel	Kernel
architekturen	Architekturen
sonstiges	Sonstiges
bild1Imagemap	Bild1-Imagemap
bip/einwohner	Bip/einwohner
wappenName	Wappen Name
gemeinden	Gemeinden
hauptort	Hauptort
einwohnerRang	Einwohner Rang
dichteRang	Dichte Rang
ausländer	Ausländer
arbeitslose	Arbeitslose
beitrittsjahr	Beitrittsjahr
grössterOrt	Grösster Ort
