quasiris_id	topic	nr_in_context	name
fussballde419	Fussball	419	Per Mertesacker
fussballde42	Stadt	42	Barcelona
fussballde421	Fussball	421	FC Everton
fussballde423	Fussball	423	FC Arsenal London
fussballde425	Fussball	425	FC Arsenal
fussballde427	Fussball	427	Stoke City
fussballde429	Fussball	429	Mertesacker
fussballde43	Stadt	43	Madrid
fussballde431	Fussball	431	Artur Boruc
fussballde433	Fussball	433	Mesut Özil
fussballde435	Fussball	435	Lukas Podolski
fussballde437	Fussball	437	FC Liverpool
fussballde439	Fussball	439	Daniel Sturridge
fussballde44	Stadt	44	Struth
fussballde441	Fussball	441	Romelu Lukaku
fussballde443	Fussball	443	Swansea City
fussballde445	Fussball	445	FC Fulham
fussballde447	Fussball	447	Keeper
fussballde449	Fussball	449	Jack Wilshere
fussballde45	Stadt	45	Weste
fussballde451	Fussball	451	Aaron Ramsey
fussballde453	Fussball	453	Theo Walcott
fussballde455	Fussball	455	Kevin Mirallas
fussballde457	Fussball	457	Philippe Coutinho
fussballde459	Fussball	459	Chelsea
fussballde46	Stadt	46	Mainz
fussballde461	Fussball	461	Martin Jol
fussballde463	Fussball	463	Sascha Riether
fussballde465	Fussball	465	Newcastle United
fussballde467	Fussball	467	Nick Proschwitz
fussballde469	Fussball	469	Robert Huth
fussballde47	Stadt	47	Düsseldorf
fussballde471	Fussball	471	Özil
fussballde473	Fussball	473	Podolski
fussballde475	Fussball	475	FC Sunderland
fussballde477	Firma	477	Emirates
fussballde479	Stadt	479	London
fussballde48	Stadt	48	Leverkusen
fussballde481	News	481	Krise
fussballde483	Fussball	483	Mats Hummels
fussballde485	Fussball	485	Marcel Schmelzer
fussballde487	Fussball	487	Robert Lewandowski
fussballde489	Fussball	489	Sven Bender
fussballde49	Fussball	49	1. FC Nürnberg
fussballde491	Fussball	491	SSC Neapel
fussballde493	Fussball	493	Abwehrspieler
fussballde495	Fussball	495	Manuel Friedrich
fussballde497	Fussball	497	Roman Weidenfeller
fussballde499	Fussball	499	Henrich Mchitarjan
fussballde5	Fussball	5	FC Bayern
fussballde501	Fussball	501	Hummels
fussballde503	Fussball	503	Schmelzer
fussballde505	Fussball	505	Bender
fussballde507	Politiker	507	Friedrich
fussballde509	Stadt	509	Neapel
