778	3189	Ajuga genevensis
779	3190	Ajuga pyramidalis
780	3191	Ajuga reptans
781	3193	Akaba
782	3194	Akan
783	3199	Aken
784	3200	Akeridae
785	3201	Akha
786	3202	Akhbari
787	3203	Akhenaten
788	3204	Akhenaton
789	3210	Akira Kurosawa
790	3211	Akka
791	3212	Akkadian
792	3213	Akko
793	3214	Akmola
794	3215	Akron
795	3216	Aksa Martyrs Brigades
796	3217	Aku
797	3219	"Akwa'ala"
798	3220	Al
799	3221	Al Alamayn
800	3222	Al Aqabah
801	3223	Al Capone
802	3225	Al Faran
803	3226	Al Gore
804	3227	Al Hirschfeld
805	3229	Al Jolson
806	3230	Al Ladhiqiyah
807	3231	Al Madinah
808	3232	Al Nathir
809	3233	Al Qahira
810	3234	Al Qanoon
811	3236	Al Tawhid
812	3242	Al-Hasan ibn al-Haytham
813	3244	Al-Hudaydah
814	3245	Al-Iraq
815	3247	"Al-Jama'a al-Islamiyyah al-Muqatilah bi-Libya"
816	3250	Al-Magrib
817	3252	Al-Mukalla
818	3241	Al-hakim
819	3261	Alabama
820	3263	Alabama River
821	3262	Alabama lip fern
822	3264	Alabaman
823	3265	Alabamian
824	3270	Aladdin
825	3271	"Aladdin's lamp"
826	3273	Alamo
827	3274	Alan Alexander Milne
828	3275	Alan Bartlett Shepard Jr.
829	3276	Alan Hodgkin
830	3277	Alan Jay Lerner
831	3278	Alan Lloyd Hodgkin
832	3279	Alan Mathison Turing
833	3280	Alan Paton
834	3281	Alan Seeger
835	3282	Alan Shepard
836	3283	Alan Stewart Paton
837	3284	Alan Turing
838	3285	Aland islands
839	3287	Alar
840	3288	Alaric
841	3301	Alaska
842	3307	Alaska Native
843	3308	Alaska Peninsula
844	3309	Alaska Range
845	3311	Alaska Standard Time
846	3302	Alaska cedar
847	3303	Alaska cod
848	3304	Alaska crab
849	3305	Alaska fur seal
850	3306	Alaska king crab
851	3310	Alaska rein orchid
852	3312	Alaskan
853	3316	Alaskan Native
854	3313	Alaskan brown bear
855	3314	Alaskan king crab
856	3315	Alaskan malamute
857	3317	Alaskan pipeline
858	3321	Alauda
859	3322	Alauda arvensis
860	3323	Alaudidae
861	3326	Alban Berg
862	3327	Albania
863	3328	Albanian
864	3329	Albanian capital
865	3330	Albanian monetary unit
866	3331	Albany
867	3332	Albatrellus
868	3333	Albatrellus dispansus
869	3334	Albatrellus ovinus
870	3337	Albee
871	3338	Alben Barkley
872	3339	Alben William Barkley
873	3340	Albers
874	3341	Albers-Schonberg disease
875	3342	Albert
876	3343	Albert Abraham Michelson
877	3344	Albert Bruce Sabin
878	3345	Albert Camus
879	3346	Albert Edward
880	3347	Albert Einstein
881	3348	Albert Francis Charles Augustus Emmanuel
882	3349	Albert Gore Jr.
883	3350	Albert Michelson
884	3351	Albert Sabin
885	3352	Albert Schweitzer
886	3353	Albert Speer
887	3354	Albert Szent-Gyorgyi
888	3355	Albert von Szent-Gyorgyi
889	3356	Alberta
890	3357	Alberti
891	3358	Alberto Giacometti
892	3360	Albigenses
893	3361	Albigensian
894	3362	Albigensianism
895	3368	Albino Luciano
896	3370	Albion
897	3374	Albizia julibrissin
898	3375	Albizia lebbeck
899	3376	Albizia saman
900	3378	Albizzia julibrissin
901	3379	Albizzia lebbeck
902	3380	Alborg
903	3381	Albrecht Durer
904	3382	Albrecht Eusebius Wenzel von Wallenstein
905	3383	"Albright's disease"
906	3385	Albuginaceae
907	3387	Albugo
908	3388	Albula
909	3389	Albula vulpes
910	3390	Albulidae
911	3398	Albuquerque
912	3400	Alca
913	3401	Alca torda
914	3402	Alcaeus
915	3404	Alcaic
916	3405	Alcaic verse
917	3411	Alcea
918	3412	Alcea rosea
919	3413	Alcedinidae
920	3414	Alcedo
921	3415	Alcedo atthis
922	3416	Alcelaphus
923	3417	Alces
924	3418	Alces alces
925	3427	Alcibiades
926	3428	Alcidae
927	3429	Alcides
928	3445	Alcoholics Anonymous
929	3450	Alcott
930	3452	Alcyonacea
931	3453	Alcyonaria
932	3454	Alcyone
933	3455	Aldactone
934	3456	Aldebaran
935	3477	Aldomet
936	3481	Aldous Huxley
937	3482	Aldous Leonard Huxley
938	3483	Aldrovanda
939	3484	Aldrovanda vesiculosa
940	3489	Alec Guinness
941	3491	Alectis
942	3492	Alectis ciliaris
943	3493	Alecto
944	3494	Alectoria
945	3495	Alectoris
946	3496	Alectoris graeca
947	3497	Alectoris ruffa
948	3498	Alectura
949	3499	Alectura lathami
950	3503	Aleksandr Aleksandrovich Blok
951	3504	Aleksandr Borodin
952	3505	Aleksandr Feodorovich Kerensky
953	3506	Aleksandr I. Solzhenitsyn
954	3507	Aleksandr Mikjailovich Prokhorov
955	3508	Aleksandr Nikolayevich Scriabin
956	3509	Aleksandr Pavlovich
957	3510	Aleksandr Porfirevich Borodin
958	3511	Aleksandr Prokhorov
959	3512	Aleksandr Scriabin
960	3513	Aleksandr Sergeyevich Pushkin
961	3514	Aleksandr Solzhenitsyn
962	3515	Aleksey Maksimovich Peshkov
963	3516	Aleksey Maximovich Peshkov
964	3519	Alep
965	3524	Alepisaurus
966	3525	Aleppo
967	3526	Aleppo boil
968	3527	Aleppo grass
969	3533	Alessandro Farnese
970	3534	Alessandro Manzoni
971	3532	Alessandro di Mariano dei Filipepi
972	3536	Aletris
973	3537	Aletris aurea
974	3538	Aletris farinosa
975	3539	Aletta Jacobs
976	3540	Aleuria aurantia
977	3541	Aleurites
978	3542	Aleurites fordii
979	3543	Aleurites moluccana
980	3546	Aleut
981	3547	Aleutian
982	3548	Aleutian Islands
983	3549	Aleutians
984	3550	Aleve
985	3552	Alex Boncayao Brigade
986	3553	Alex Haley
987	3554	Alexander
988	3555	Alexander Alexandrovich Blok
989	3556	Alexander Archipelago
990	3557	Alexander Bell
991	3558	Alexander Calder
992	3559	Alexander Fleming
993	3560	Alexander Graham Bell
994	3561	Alexander Hamilton
995	3562	Alexander I
996	3563	Alexander II
997	3564	Alexander III
998	3565	Alexander Isayevich Solzhenitsyn
999	3566	Alexander Melville Bell
1000	3567	Alexander Pope
1001	3568	Alexander Pushkin
1002	3569	Alexander Selcraig
1003	3570	Alexander Selkirk
1004	3573	Alexander VI
1005	3574	Alexander Wilson
1006	3575	Alexander Woollcott
1007	3571	Alexander the Great
1008	3572	Alexander the Liberator
1009	3576	Alexanders
1010	3577	Alexandre Dumas
1011	3578	Alexandre Emile Jean Yersin
1012	3579	Alexandre Gustave Eiffel
1013	3580	Alexandre Yersin
1014	3581	Alexandria
1015	3582	Alexandria senna
1016	3583	Alexandrian
1017	3584	Alexandrian laurel
1018	3585	Alexandrian senna
1019	3586	Alexandrine
1020	3590	Alexis Carrel
1021	3591	Alexis Charles Henri Maurice de Tocqueville
1022	3592	Alexis de Tocqueville
1023	3593	Aleyrodes
1024	3594	Aleyrodidae
1025	3599	Alfonso Borgia
1026	3600	Alfred
1027	3601	Alfred Alistair Cooke
1028	3602	Alfred Bernhard Nobel
1029	3603	Alfred Binet
1030	3604	Alfred Charles Kinsey
1031	3605	Alfred Charles William Harmsworth
1032	3606	Alfred Damon Runyon
1033	3608	Alfred Dreyfus
1034	3609	Alfred Edward Housman
1035	3610	Alfred Edward Woodley Mason
1036	3611	Alfred Eisenstaedt
1037	3612	Alfred Habdank Skarbek Korzybski
1038	3613	Alfred Hawthorne
1039	3614	Alfred Hitchcock
1040	3615	Alfred Joseph Hitchcock
1041	3616	Alfred Kastler
1042	3617	Alfred Korzybski
1043	3618	Alfred Kroeber
1044	3619	Alfred Krupp
1045	3620	Alfred Lord Tennyson
1046	3621	Alfred Lothar Wegener
1047	3622	Alfred Louis Kroeber
1048	3623	Alfred Lunt
1049	3624	Alfred Nobel
1050	3625	Alfred North Whitehead
1051	3626	Alfred Noyes
1052	3627	Alfred Russel Wallace
